time (s)	 tau_0 (-0.15 V, exp) 	 tau_0 (-0.20 V, exp)	 tau_0 (-0.25 V, exp)	tau_1 (-0.15 V, exp)	 tau_1 (-0.20 V, exp)	 tau_1 (-0.25 V, exp)	tau_0 (simu)	tau_1 (-0.15 V, simu)	 tau_1 (-0.20 V, simu)	 tau_1 (-0.25 V, simu)
0.0008	46.46779642897565	43.955487402685584	46.868077488212904	56.115624718377724	93.90355184813927	148.4913077970246	42.62103786231107	55.46349566247416	94.1144321931276	155.483116813953
0.0016	55.034217511808805	52.21193135863103	55.37614357178787	64.64246141378193	108.52917126110975	160.63638515453047	58.91254277813657	63.390177284280256	103.64168439317322	160.75536664085848
0.0024000000000000002	60.2453653513376	57.46574376429244	60.38047677811597	63.9178153784424	101.94743436623953	142.98304852711738	63.565254912262034	61.91227546313113	97.04480169997125	140.08827801448308
0.0032	62.11781621600059	59.652199872570755	61.9152395768264	61.189229132796925	88.32957092530064	118.9078225787992	63.167279894646555	58.717175656359764	88.05022712477412	117.83475812260222
0.004	61.46715343297452	59.41878772586103	60.88745961221305	58.83831286790334	76.35854461804621	98.05593034269118	60.66683835795155	55.346226230732405	79.34293899232655	98.29831307612933
0.0048000000000000004	59.284959537343454	57.63797237691957	58.42812276852689	56.65353215632346	68.50071401164126	80.13073975447713	57.37745064155593	52.10054361602004	71.38737413070683	81.83756503012391
0.0056	56.30913219002928	55.029535232214066	55.380296157182684	54.37960457275628	64.21061454934451	63.965661724073804	53.87887032060427	49.03144003494726	64.20746658237226	68.10039197041245
0.0064	52.966385344716144	52.0250891915251	52.15445928729323	51.84019197405028	60.25820199912346	50.4043202686977	50.421849323709694	46.14035236157272	57.74524433471403	56.66249035033719
0.007200000000000001	49.522821520390906	48.81589445180593	48.87283545377169	48.5272336030785	54.03802739752951	40.60595804111865	47.10996359437773	43.41917407734595	51.93252107700062	47.144318580928626
0.008	46.19118019743423	45.47569611871341	45.57969099550284	44.987742988213334	47.35962866278396	34.04545204152988	43.981268752604365	40.85836711369696	46.7047340809008	39.22473993811849
0.0088	43.10617064510607	42.084856265537695	42.34483026353085	42.722388440631285	41.83743942285647	29.08792295665784	41.04494941767135	38.44857039656393	42.00316565223179	32.635483872084684
0.009600000000000001	40.27155811483866	38.808243797377834	39.238863642650266	41.004655214380826	36.28893476062411	24.541481913047352	38.29774862533183	36.18089712037252	37.77487688420115	27.15312776525929
0.010400000000000001	37.59956461145943	35.88444177545723	36.27861504688299	38.07215948884931	31.12229405761667	20.126064008633048	35.731314417514845	34.04696890213942	33.97223135012557	22.591737192574424
0.0112	35.017126897666174	33.51815679231171	33.43820309105695	33.67177690943716	27.642322518462258	16.08512166948253	33.33546764446386	32.03889833806143	30.552382607902498	18.796603528978313
0.012	32.512758009610906	31.745443244492716	30.722138595721713	29.366999087944222	25.115195646326917	12.534881632482223	31.09963927904736	30.14926257824651	27.47679630855396	15.639005498516969
0.0128	30.081018102962304	30.38830781443751	28.21815301710537	26.66107905914688	22.148427649701272	9.402260166958738	29.013487319856544	28.371076438874454	24.710816982617445	13.0118450528173
0.013600000000000001	27.669300485091423	29.151968438486808	26.06534803536346	25.461209022282155	19.00755254059719	7.089752677665442	27.06714700022733	26.697766692130234	22.223277744000715	10.826015224352924
0.014400000000000001	25.230160595287916	27.788432019721185	24.354969181551095	25.412657715392925	16.725782261853723	5.950344796639513	25.25131804125695	25.123147790117162	19.986149143593483	9.007377904706027
0.0152	22.827416662256176	26.196520273356835	23.04631480764278	26.196947411473722	15.467844281273115	5.4428613834227795	23.557280372784398	23.641399003926313	17.97422334315874	7.494249272257377
0.016	20.648705776287017	24.408709215921245	21.97372802468877	25.828646846495623	15.245768395980665	4.861735120854751	21.976879288472677	22.247042907672256	16.164830076478506	6.23530762766293
0.016800000000000002	18.87478676603679	22.522895385062455	20.94426268297151	23.035154332746227	15.409017337734479	3.9911420847545496	20.50249833656668	20.934925130850022	14.53758120240591	5.18785268532101
0.0176	17.524938996906137	20.652961790793622	19.847778657959267	19.40176260099487	14.625152766160875	3.0417920335807436	19.127028071146796	19.70019530474944	13.074140972508934	4.316357282066019
0.0184	16.433632038954258	18.91101822927002	18.698585626589	16.935256210232303	12.575889469981316	2.3821104325554656	17.843834222603142	18.538289132611375	11.758019424905815	3.5912623808997446
0.019200000000000002	15.3837890278276	17.3903151321858	17.593403707105367	16.274884952753087	10.2600753095152	2.057615963433497	16.646726800548464	17.444911517270235	10.574386576308394	2.9879744992500377
0.02	14.275504833823513	16.13299137334666	16.628225553794564	16.431552134852076	8.739217572874391	1.994650402299101	15.529930729039387	16.416020683917306	9.509905318608263	2.486031556940068
0.020800000000000003	13.186401759704202	15.10635507569987	15.825993605568687	15.93271205534075	7.95921979321947	2.1418016342433472	14.488058208953237	15.447813239294065	8.552581137095753	2.0684088514319896
0.0216	12.283102909600837	14.221692589610008	15.111286998443731	14.498901578447839	7.426177992973017	2.1570914956772	13.516082825390551	14.536710112085721	7.6916269569454325	1.720941620688102
0.0224	11.6682709568185	13.39262402248589	14.34829462755915	13.037799230149218	6.922195998295979	1.8426619687517576	12.609315343126465	13.679343322542138	6.917341595066044	1.4318446083646406
0.023200000000000002	11.289809118012103	12.584618006300131	13.424845351471623	11.901930338425444	6.321219909958475	1.3340635735730835	11.763381103865278	12.872543532418945	6.221000447717147	1.191312336140225
0.024	10.97521811329219	11.811154070148765	12.325752760082473	11.030367933737939	5.697243052214242	0.8482509599659704	10.974198929968985	12.113328329215957	5.5947571821668065	0.9911865253736072
0.024800000000000003	10.549921331523068	11.086861417527212	11.13704563770468	10.715322814317327	5.083731473308297	0.5670060065674155	10.237961439044902	11.398891201404432	5.031555324657366	0.8246793878297948
0.0256	9.941137384667078	10.39019817664455	9.978923479161137	10.547195032088638	4.534872118648133	0.4898082532544736	9.551116677190368	10.726591163889099	4.525048748457569	0.6861434001586912
0.0264	9.195377656087206	9.671395184826586	8.928275176223211	9.921680059751088	3.949213352441882	0.5129241731707855	8.910350983528899	10.093942995354444	4.069530166064858	0.5708797534278821
0.027200000000000002	8.41542513137064	8.89250418164612	7.993584902704967	9.02390856230663	3.261389070342253	0.5822047665749704	8.312573003927458	9.498608051406713	3.65986681981204	0.4749789807764733
0.028	7.683808388364663	8.060823605428102	7.148908275547542	8.079879489069732	2.6285642855777116	0.6455569862903927	7.75489877702083	8.938385619551466	3.291442646243707	0.39518835766165916
0.028800000000000003	7.035103961316085	7.23003370974851	6.383618658398072	7.188956545616865	2.097206984680213	0.6065213680225277	7.234637820703863	8.411204784049623	2.960106262573826	0.32880157723193093
0.0296	6.4808038242234876	6.470355527402053	5.723127678120459	6.524458876127893	1.853507815095925	0.4197648200562626	6.749280152017085	7.915116770579594	2.662124189138918	0.27356695887980675
0.0304	6.040490931435747	5.828404977569887	5.209005988192022	5.971700492665603	1.9272399716649737	0.18852916081692625	6.2964841778262715	7.448287742406814	2.394138780760002	0.22761107662800473
0.031200000000000002	5.738924327581608	5.3044986623876085	4.860706146302595	5.62089398940851	2.0029843106292953	0.05017079471246205	5.874065397885236	7.008992021431064	2.153130392986289	0.1893752170068207
0.032	5.57412961362985	4.865389141319387	4.652868327741121	5.8019751458267494	1.955962527944672	0.007508466073839619	5.479985865784626	6.595605709052524	1.9363833569120155	0.1575625112260814
0.0328	5.493967200464399	4.482088710255905	4.526307368074618	6.092121782775972	1.8393274930077939	0.0006150846033771141	5.1123443569435345	6.20660068327545	1.7414553791725345	0.13109394849155395
0.033600000000000005	5.409276649692436	4.1572522133267	4.420942794903988	5.74784611230397	1.6993517165853314	2.7198620907051315e-05	4.769367196210604	5.840538949859249	1.5661500223205815	0.10907177854284841
0.0344	5.237180273125369	3.9151747527044507	4.301579638495859	4.9045873592140055	1.6711654815435897	6.443227847676691e-07	4.4493997008231005	5.496067326635376	1.4084919554931339	0.09074906211453877
0.0352	4.943209583147763	3.76581504752931	4.157492714037452	4.114220105649048	1.7113600799735853	8.14117367187006e-09	4.150898197440914	5.1719124413401705	1.2667046964947708	0.07550433654506844
0.036000000000000004	4.554268480823516	3.680517100773863	3.9830972985018076	3.4726570155629544	1.4790090257684603	5.47129425684521e-11	3.872422574742101	4.86687602447266	1.1391905944966052	0.06282053725156482
0.0368	4.137356673331587	3.6025249735578195	3.7643891435344026	2.904541449415414	0.9563398083311854	1.9520967448373312e-13	3.6126293356501087	4.579830479776847	1.024512827796945	0.05226746013746701
0.0376	3.7600247707037693	3.4792766728900726	3.487265841199003	2.4575586538533627	0.48284125285283275	3.692718752379245e-16	3.370265115673465	4.3097147159744456	0.9213792137954849	0.04348717009983304
0.038400000000000004	3.455797502682675	3.2868209389642686	3.1571632544655537	2.2485927319678147	0.23922059275144728	3.6999869797674133e-19	3.1441606360873497	4.05553022433959	0.8286276487527228	0.03618186072784095
0.0392	3.2126663637830477	3.032631221132548	2.8045249849635274	2.3425534707867177	0.2563520760877285	1.962177521874745e-22	2.9332250627843526	3.8163373876159508	0.7452130132706397	0.030103753422527482
