Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001972210826352,9.766309E-08
0.0003,-0.001845092279837,9.7837912E-08
0.0005,-0.001797601231374,9.6340472E-08
0.0007,-0.00188457139302,9.3726804E-08
0.0009,-0.001750779221766,9.1351431E-08
0.0011,-0.001829807762988,9.5416063E-08
0.0013,-0.001913414685987,8.7211532E-08
0.0015,-0.001734420540743,8.7299291E-08
0.0017,-0.001478317077272,8.1314738E-08
0.0019,-0.001574408728629,7.7728792E-08
0.0021,-0.001883867080323,9.1936258E-08
0.0023,-0.002024597022682,9.8031812E-08
0.0025,-0.001957331318408,1.04676808E-07
0.0027,-0.001539279008284,8.4509765E-08
0.0029,-0.001432129065506,1.07315103E-07
0.0031,-0.00164885900449,8.6652378E-08
0.0033,-0.001602054690011,9.6782735E-08
0.0035,-0.001617233501747,9.711399E-08
0.0037,-0.001680273213424,9.5860401E-08
0.0039,-0.001734543824568,1.02130087E-07
0.0041,-0.001673599472269,1.03982721E-07
0.0043,-0.001848015352152,1.09117792E-07
0.0045,-0.001784975640476,1.10284319E-07
0.0047,-0.001866399077699,1.06743464E-07
0.0049,-0.001675677369349,1.06255413E-07
0.0051,-0.001860552933067,1.04628938E-07
0.0053,-0.001724101719446,9.932841E-08
0.0055,-0.001745725399815,9.8812272E-08
0.0057,-0.001740513253026,9.1012886E-08
0.0059,-0.001724894158542,8.7857757E-08
0.0061,-0.00181565026287,8.3771965E-08
0.0063,-0.001930125523359,8.157177E-08
0.0065,-0.001830248045735,8.1748325E-08
0.0067,-0.001749123912305,7.8559893E-08
0.0069,-0.001944230287336,7.680022E-08
0.0071,-0.001902884570882,7.0777858E-08
0.0073,-0.00185877433978,7.0557938E-08
0.0075,-0.001762753236108,7.3915295E-08
0.0077,-0.00174539082218,7.5348218E-08
0.0079,-0.001863299869001,7.9529741E-08
0.0081,-0.001889730803668,7.9112112E-08
0.0083,-0.001856802147813,8.1347693E-08
0.0085,-0.001732712495141,8.6721059E-08
0.0087,-0.001720298198052,9.2067026E-08
0.0089,-0.001610999926925,9.0314636E-08
0.0091,-0.001600540243089,8.7693337E-08
0.0093,-0.001570886932313,9.0618151E-08
0.0095,-0.00168712309096,9.2878011E-08
0.0097,-0.001686964649707,9.3542965E-08
0.0099,-0.001654300140217,9.3147527E-08
0.0101,-0.001815104391426,1.03009057E-07
0.0103,-0.001579603296705,1.02128006E-07
0.0105,-0.001320664887317,8.2062591E-08
0.0107,-0.001233201590367,7.5185888E-08
0.0109,-0.001653314102441,8.8686079E-08
0.0111,-0.001873460249044,7.9360468E-08
0.0113,-0.001764073851518,1.00301385E-07
0.0115,-0.001792001537979,9.1965049E-08
0.0117,-0.001735300989822,9.2682029E-08
0.0119,-0.001640547649004,8.7677037E-08
0.0121,-0.001677579130046,8.3883663E-08
0.0123,-0.001533697010018,8.1209635E-08
0.0125,-0.001625474425964,7.9733702E-08
0.0127,-0.001707285293378,7.2346403E-08
0.0129,-0.001653190818615,7.1536462E-08
0.0131,-0.001682403963059,7.5802618E-08
0.0133,-0.001726038753986,7.5500147E-08
0.0135,-0.001657381770201,7.7668091E-08
0.0137,-0.001724260277115,8.1209635E-08
0.0139,-0.001482050167397,8.3332139E-08
0.0141,-0.001562681165524,8.8125191E-08
0.0143,-0.001573898131028,9.4449334E-08
0.0145,-0.001584181678481,9.587324E-08
0.0147,-0.001621037023142,9.4306422E-08
0.0149,-0.0015439982526,9.7229155E-08
0.0151,-0.001670641242526,1.00881003E-07
0.0153,-0.001508287386969,1.0208673E-07
0.0155,-0.001695434446447,1.08381037E-07
0.0157,-0.001667137024924,1.06303283E-07
0.0159,-0.00159346149303,1.08574248E-07
0.0161,-0.001807021908462,1.03512363E-07
0.0163,-0.001699590240605,1.00764801E-07
