Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001857224851847,1.10223269E-07
0.0003,-0.001941941096447,1.0765261E-07
0.0005,-0.001811917172745,1.03568212E-07
0.0007,-0.001943068113178,1.03094038E-07
0.0009,-0.00181964749936,9.938114E-08
0.0011,-0.001908660284244,9.8453604E-08
0.0013,-0.001960465684533,9.9476871E-08
0.0015,-0.001855939393863,9.5004673E-08
0.0017,-0.001971594523638,9.4441006E-08
0.0019,-0.00195650360547,9.8573274E-08
0.0021,-0.001947963377461,9.158488E-08
0.0023,-0.001941465656273,9.2610577E-08
0.0025,-0.001840637298301,8.5920831E-08
0.0027,-0.002098343102261,8.786192E-08
0.0029,-0.002254762686789,9.0710074E-08
0.0031,-0.002118716482073,1.0056258E-07
0.0033,-0.001873019966297,1.07272093E-07
0.0035,-0.001649035140872,9.2827371E-08
0.0037,-0.001645020325668,1.01134567E-07
0.0039,-0.001793991308659,9.6588138E-08
0.0041,-0.001773160067387,9.436296E-08
0.0043,-0.001834509312175,1.02429439E-07
0.0045,-0.001810473273508,1.03205039E-07
0.0047,-0.001827500993386,1.06635241E-07
0.0049,-0.001763704116456,1.08586732E-07
0.0051,-0.001945304335095,1.12940306E-07
0.0053,-0.001880380441435,1.15887659E-07
0.0055,-0.001874270150438,1.16057976E-07
0.0057,-0.001734719844535,1.13930966E-07
0.0059,-0.001953017082997,1.10452895E-07
0.0061,-0.001876929192804,1.05465247E-07
0.0063,-0.001906529651023,1.02752722E-07
0.0065,-0.001889026490971,9.7656148E-08
0.0067,-0.001852065441199,9.5529835E-08
0.0069,-0.001955816987902,9.2679947E-08
0.0071,-0.002048140158877,9.0234167E-08
0.0073,-0.002001670422032,8.7455732E-08
0.0075,-0.001868018996902,8.280108E-08
0.0077,-0.002005667658523,8.2661288E-08
0.0079,-0.002112166024745,7.7655947E-08
0.0081,-0.001904328586534,7.5937209E-08
0.0083,-0.001943596289493,7.6844621E-08
0.0085,-0.001886103418656,7.673917E-08
0.0087,-0.001952840946615,8.2531216E-08
0.0089,-0.001941465656273,8.3822961E-08
0.0091,-0.001954866107553,8.7243798E-08
0.0093,-0.001975450664759,9.130634E-08
0.0095,-0.001901616808027,9.1759702E-08
0.0097,-0.001817921758629,9.318638E-08
0.0099,-0.001942874398082,9.2890154E-08
0.0101,-0.001998571213335,9.5385886E-08
0.0103,-0.001947276527062,9.5822941E-08
0.0105,-0.002027766779065,9.1474227E-08
0.0107,-0.001934210769832,9.806719E-08
0.0109,-0.001980874221772,1.11640929E-07
0.0111,-0.001889801234938,1.01022181E-07
0.0113,-0.001608252990991,9.2954672E-08
0.0115,-0.001669567078352,7.5544548E-08
0.0117,-0.002073021605611,8.899098E-08
0.0119,-0.002211215905845,8.3047006E-08
0.0121,-0.002113838912919,9.2836387E-08
0.0123,-0.002012218115851,9.0774243E-08
0.0125,-0.001912146923132,9.5341484E-08
0.0127,-0.001843982958235,8.9661484E-08
0.0129,-0.001946695498191,8.7916725E-08
0.0131,-0.001872861525044,8.202062E-08
0.0133,-0.001914647291414,8.1297046E-08
0.0135,-0.001771909883246,7.6305582E-08
0.0137,-0.001757664256729,7.5880664E-08
0.0139,-0.001951590762474,7.9419436E-08
0.0141,-0.001903853146359,7.7651784E-08
0.0143,-0.00187564373482,8.2839584E-08
0.0145,-0.001993024488911,9.0171383E-08
0.0147,-0.001848948653787,9.2304631E-08
0.0149,-0.00192757230252,9.7209728E-08
0.0151,-0.001856449991465,1.00116154E-07
0.0153,-0.001864479621872,1.00892798E-07
0.0155,-0.001708817202598,1.04393763E-07
0.0157,-0.001748137874529,1.06592225E-07
0.0159,-0.00171038438566,1.09401533E-07
0.0161,-0.001712374272756,1.05656717E-07
0.0163,-0.00189911632333,1.14774899E-07
0.0165,-0.001706281560473,1.12120652E-07
0.0167,-0.001875538029708,1.12487292E-07
0.0169,-0.001953457249328,1.07428534E-07
0.0171,-0.001777069177479,1.05246372E-07
0.0173,-0.001708024879918,1.04506846E-07
0.0175,-0.00169999524951,1.00229933E-07
0.0177,-0.00177518511191,1.01082534E-07
0.0179,-0.001863387878984,9.3796174E-08
0.0181,-0.002015070756897,9.8570503E-08
0.0183,-0.001876700203866,9.7166371E-08
0.0185,-0.001930301659741,9.2144724E-08
0.0187,-0.001885856851004,9.2046911E-08
0.0189,-0.001863423152827,9.8187556E-08
0.0191,-0.001609397586435,8.635962E-08
0.0193,-0.001947311800905,8.6624631E-08
0.0195,-0.002050834242254,9.0405173E-08
0.0197,-0.002176526468247,1.01901499E-07
0.0199,-0.001911336905323,1.064233E-07
0.0201,-0.001559036201797,9.1754842E-08
0.0203,-0.001494041876867,1.08692184E-07
0.0205,-0.001634085201658,8.8346148E-08
0.0207,-0.001859232201241,9.3941168E-08
0.0209,-0.001870079315268,9.6108415E-08
0.0211,-0.001800418598577,1.0285158E-07
0.0213,-0.001784095191397,1.0117342E-07
0.0215,-0.001774498377927,1.03830445E-07
0.0217,-0.001860728953034,1.1100893E-07
0.0219,-0.001819841214456,1.15079104E-07
0.0221,-0.001892477739602,1.13965655E-07
0.0223,-0.001707355724648,1.09804596E-07
0.0225,-0.001908589852974,1.11943748E-07
0.0227,-0.001741869142279,1.07574216E-07
0.0229,-0.001713342731819,1.02700341E-07
0.0231,-0.001788691035472,9.9059591E-08
0.0233,-0.001774920965545,9.4718509E-08
0.0235,-0.0016508664703,9.4387936E-08
0.0237,-0.001728891395032,9.0221327E-08
0.0239,-0.001777421450242,8.7823416E-08
0.0241,-0.00185458350461,8.851854E-08
0.0243,-0.001865958794951,8.3486839E-08
0.0245,-0.001939863199368,8.2677246E-08
0.0247,-0.001775959855877,7.6155388E-08
0.0249,-0.001885469420813,7.751165E-08
0.0251,-0.00178418320138,8.0132949E-08
0.0253,-0.001769444555975,8.5984652E-08
0.0255,-0.001841359189712,8.6424834E-08
0.0257,-0.001785644795746,8.4953065E-08
0.0259,-0.001751501113176,9.0042001E-08
0.0261,-0.001727729220875,9.4421928E-08
0.0263,-0.00175958359614,9.4194036E-08
0.0265,-0.001898605609313,9.1504056E-08
0.0267,-0.001909223850816,9.1298709E-08
0.0269,-0.002064586849883,9.7134809E-08
0.0271,-0.001989608397707,9.9198338E-08
0.0273,-0.002015616511926,9.2848531E-08
0.0275,-0.002193114021793,1.05656369E-07
0.0277,-0.0021468908526,1.07561732E-07
0.0279,-0.00179650937207,8.9696165E-08
0.0281,-0.001563737750985,8.1760469E-08
0.0283,-0.001741006271914,8.4812925E-08
0.0285,-0.002094715600833,8.0130867E-08
0.0287,-0.00209596590139,9.4762214E-08
0.0289,-0.00188751204405,9.5709865E-08
0.0291,-0.001854002359323,9.18374E-08
0.0293,-0.001840461161919,8.7457117E-08
0.0295,-0.001873019966297,8.550667E-08
0.0297,-0.001959778834134,8.1637673E-08
0.0299,-0.001941518508829,8.3194777E-08
0.0301,-0.001928135752678,7.5323591E-08
0.0303,-0.001895559369586,7.4680493E-08
0.0305,-0.002012922428548,7.7289307E-08
0.0307,-0.001968160737306,7.9518991E-08
0.0309,-0.001831586239859,8.285415E-08
0.0311,-0.001951449899934,8.9491863E-08
0.0313,-0.001888374914415,9.1535966E-08
0.0315,-0.001959620509297,9.4427484E-08
0.0317,-0.001966734416783,1.01091558E-07
0.0319,-0.00204516435042,1.02001394E-07
0.0321,-0.001903624157421,1.02439493E-07
0.0323,-0.001969833625481,1.05772571E-07
0.0325,-0.001909188576974,1.08560023E-07
0.0327,-0.001833752146922,1.08452149E-07
0.0329,-0.001820263802074,1.1274571E-07
0.0331,-0.001870026462711,1.12056128E-07
0.0333,-0.001915844739415,1.1407041E-07
0.0335,-0.001977510983124,1.10462956E-07
0.0337,-0.001753402873874,1.04374337E-07
0.0339,-0.001793674426153,1.04961934E-07
0.0341,-0.001888832775876,1.01648283E-07
0.0343,-0.001911988365464,1.00500834E-07
0.0345,-0.001932520302944,9.5532265E-08
0.0347,-0.001964867813513,9.8730759E-08
0.0349,-0.001999099506065,9.916851E-08
0.0351,-0.001998958643526,9.3542269E-08
0.0353,-0.002065256005153,8.9868216E-08
0.0355,-0.002012975281104,1.01665279E-07
0.0357,-0.002031094860286,9.251692E-08
0.0359,-0.001917165354826,8.6095653E-08
0.0361,-0.002094240160659,9.2217917E-08
0.0363,-0.002070838119835,9.8234729E-08
0.0365,-0.002061311621219,1.09898942E-07
0.0367,-0.001712814439088,1.04171072E-07
0.0369,-0.001580712734722,1.07399742E-07
0.0371,-0.001678036991507,9.3783342E-08
0.0373,-0.00176018232014,9.8690869E-08
0.0375,-0.001829473185353,9.803216E-08
0.0377,-0.001988921547309,1.01357259E-07
0.0379,-0.001889924518764,1.03535953E-07
0.0381,-0.001801809645258,1.0950351E-07
0.0383,-0.001789923757315,1.10986036E-07
0.0385,-0.001905719633214,1.13667689E-07
0.0387,-0.00197930703871,1.15617794E-07
0.0389,-0.001893182168715,1.12786296E-07
0.0391,-0.002028999384493,1.13599356E-07
0.0393,-0.001875538029708,1.05810038E-07
0.0395,-0.001872967113741,1.05420149E-07
0.0397,-0.001982529647648,1.01461318E-07
0.0399,-0.001825123792514,9.6676246E-08
0.0401,-0.001865888363682,9.2696595E-08
0.0403,-0.002030883450061,9.1691717E-08
0.0405,-0.002072863047943,8.5519154E-08
0.0407,-0.002021004911512,8.5601712E-08
0.0409,-0.001854231348261,8.2438596E-08
0.0411,-0.002023241249844,8.0903348E-08
0.0413,-0.001949882716872,7.6087055E-08
0.0415,-0.002106601605192,7.7208142E-08
0.0417,-0.0019666464068,7.891682E-08
0.0419,-0.001865148777142,8.4581565E-08
0.0421,-0.001905191340484,8.3255131E-08
0.0423,-0.001834033872001,8.4263135E-08
0.0425,-0.001833593705669,8.599055E-08
0.0427,-0.001920387847349,8.9904638E-08
0.0429,-0.001934545347467,9.0042349E-08
0.0431,-0.001921937451698,9.029764E-08
0.0433,-0.001974059734493,9.5229097E-08
0.0435,-0.001958827953786,9.4311972E-08
0.0437,-0.001994485966861,9.2610577E-08
0.0439,-0.001978461863473,9.109926E-08
0.0441,-0.002039194805548,1.05331004E-07
0.0443,-0.002139195566997,1.09329385E-07
0.0445,-0.00184644816909,9.497623E-08
0.0447,-0.001584498560987,8.2197523E-08
0.0449,-0.001649211160839,8.0004952E-08
0.0451,-0.002066805493087,8.2033104E-08
0.0453,-0.002236273372546,9.3647024E-08
0.0455,-0.001915263594128,9.2156519E-08
0.0457,-0.001874745590612,9.5442424E-08
0.0459,-0.001903923577629,8.9010754E-08
0.0461,-0.001830864348449,8.6727653E-08
0.0463,-0.001949970726855,8.7539327E-08
0.0465,-0.002030795440078,8.4203819E-08
0.0467,-0.001941219088621,8.0017792E-08
0.0469,-0.001982071669772,7.5091187E-08
0.0471,-0.001938930014148,7.6907057E-08
0.0473,-0.002110317116603,7.7105469E-08
0.0475,-0.001845585298724,7.9913725E-08
0.0477,-0.001951625919901,8.361414E-08
0.0479,-0.00188131374307,8.6692616E-08
0.0481,-0.001960254274309,9.015681E-08
0.0483,-0.001923592644744,9.6055693E-08
0.0485,-0.00197023851797,9.7204527E-08
0.0487,-0.001891403575428,1.00362435E-07
0.0489,-0.001911477767862,1.03465887E-07
0.0491,-0.001903307274915,1.04801337E-07
0.0493,-0.001786032109521,1.08468797E-07
0.0495,-0.001743330620229,1.09652667E-07
0.0497,-0.001891896710731,1.16352119E-07
0.0499,-0.001821901416406,1.10342938E-07
0.0501,-0.001984096830711,1.10765427E-07
0.0503,-0.001918820664287,1.06992864E-07
0.0505,-0.001778372330591,1.03731935E-07
0.0507,-0.00181897834409,1.06393472E-07
0.0509,-0.001828258275054,1.00332947E-07
0.0511,-0.001823838334531,9.478719E-08
