Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001845215563662,7.7407591E-08
0.0003,-0.001803940394893,8.3484416E-08
0.0005,-0.0017642499879,8.5983615E-08
0.0007,-0.001791526097804,8.7370054E-08
0.0009,-0.001742274151184,8.6398124E-08
0.0011,-0.001816530711949,9.4241209E-08
0.0013,-0.00175271613989,9.2380255E-08
0.0015,-0.001771293464117,9.2391701E-08
0.0017,-0.001752945128828,9.4149641E-08
0.0019,-0.001840654877014,9.2489515E-08
0.0021,-0.001837538089603,8.8145654E-08
0.0023,-0.001766239758581,9.1513073E-08
0.0025,-0.002004734240472,1.03986189E-07
0.0027,-0.001908114412799,1.08080648E-07
0.0029,-0.001671891426668,9.6510092E-08
0.0031,-0.001484057633206,7.8903298E-08
0.0033,-0.001644192729145,7.7085346E-08
0.0035,-0.002094557275996,9.4974844E-08
0.0037,-0.002046273555607,8.3959975E-08
0.0039,-0.001655603293329,9.7945438E-08
0.0041,-0.001629647798836,9.7531625E-08
0.0043,-0.001610066741705,8.9968808E-08
0.0045,-0.00156859785784,8.5854928E-08
0.0047,-0.001691454905085,8.5599979E-08
0.0049,-0.001763563253917,8.5051227E-08
0.0051,-0.001792124821804,7.9115232E-08
0.0053,-0.001686207484454,7.317265E-08
0.0055,-0.001748824608512,7.6569201E-08
0.0057,-0.001893270178698,7.7256701E-08
0.0059,-0.001618765527382,7.8554692E-08
0.0061,-0.001620191847906,8.2877392E-08
0.0063,-0.001633310457692,8.7430067E-08
0.0065,-0.001663069357164,9.0613987E-08
0.0067,-0.001714839483611,9.536334E-08
0.0069,-0.001753579010256,1.01091906E-07
0.0071,-0.001720174914226,1.01500866E-07
0.0073,-0.001877034781501,1.06451743E-07
0.0075,-0.001683407695964,1.06634893E-07
0.0077,-0.00190998101607,1.09221503E-07
0.0079,-0.001629911945201,1.12361377E-07
0.0081,-0.001643893308938,1.17497834E-07
0.0083,-0.001454879762605,1.12314204E-07
0.0085,-0.001618501381017,1.11418586E-07
0.0087,-0.001810437999666,1.08864228E-07
0.0089,-0.001768757821992,1.0822113E-07
0.0091,-0.001747574424371,1.08350861E-07
0.0093,-0.001775132259354,1.00910839E-07
0.0095,-0.001857348019257,1.01775584E-07
0.0097,-0.001838260097429,9.8687394E-08
0.0099,-0.001885733567178,9.8746021E-08
0.0101,-0.001930231228471,9.6124374E-08
0.0103,-0.001716353814118,9.3969263E-08
0.0105,-0.001587104750797,9.4089629E-08
0.0107,-0.001587368897162,9.23473E-08
0.0109,-0.001511157723144,8.2181913E-08
0.0111,-0.001691578188911,8.144967E-08
0.0113,-0.0017499163514,9.0332328E-08
0.0115,-0.002033419208601,1.03744071E-07
0.0117,-0.0018943795003,1.0769007E-07
0.0119,-0.001462046522647,9.6514256E-08
0.0121,-0.001399499829859,1.04319881E-07
0.0123,-0.001585238147527,9.52787E-08
0.0125,-0.001717938692309,9.8400186E-08
0.0127,-0.001688760705292,9.8631553E-08
0.0129,-0.001640706090257,1.02473145E-07
0.0131,-0.00160973216407,1.04746533E-07
0.0133,-0.001381978974678,1.07091374E-07
0.0135,-0.001569812768139,1.11201096E-07
0.0137,-0.001599659910426,1.12811961E-07
0.0139,-0.001680414192379,1.11560105E-07
0.0141,-0.001646957243793,1.115164E-07
0.0143,-0.00179717852734,1.10373811E-07
0.0145,-0.001654088846408,1.02280978E-07
0.0147,-0.001732818083838,1.03581044E-07
0.0149,-0.001683971146122,9.9073119E-08
0.0151,-0.001693145371974,9.0574794E-08
0.0153,-0.001713501173072,9.2026447E-08
0.0155,-0.001784658641554,9.0482523E-08
0.0157,-0.001758421421982,8.6934385E-08
0.0159,-0.001691912766546,8.3764334E-08
0.0161,-0.001731110038236,8.6477208E-08
0.0163,-0.001683002687059,7.9814527E-08
0.0165,-0.001743225031532,7.9515523E-08
0.0167,-0.001803993247449,8.1811457E-08
0.0169,-0.001581364194863,8.2249898E-08
0.0171,-0.001504431129433,8.2469469E-08
0.0173,-0.001512126182206,8.2712276E-08
0.0175,-0.001561325392686,8.7434223E-08
0.0177,-0.001664724666625,8.8328115E-08
0.0179,-0.001674145343713,9.3975508E-08
0.0181,-0.001654581865296,9.2348685E-08
0.0183,-0.001718044281006,9.6185076E-08
0.0185,-0.001661783899181,9.630093E-08
0.0187,-0.00163639197126,9.612576E-08
0.0189,-0.001643030554987,9.4263065E-08
0.0191,-0.001758439000696,9.6367181E-08
0.0193,-0.001901792827994,1.12279864E-07
0.0195,-0.001696103601716,1.06820124E-07
0.0197,-0.001259297947399,8.6289205E-08
0.0199,-0.001435774145648,7.8880745E-08
0.0201,-0.001950041158125,9.4344578E-08
0.0203,-0.002174184424803,8.6294754E-08
0.0205,-0.001871382351965,9.3136428E-08
0.0207,-0.001817604876123,9.376253E-08
0.0209,-0.001715138787404,9.4493387E-08
0.0211,-0.001729630981572,9.0593524E-08
0.0213,-0.00165699434001,8.6946528E-08
0.0215,-0.001741552143358,8.439148E-08
0.0217,-0.001931692706421,8.3162867E-08
0.0219,-0.001851449138485,7.4998923E-08
0.0221,-0.00184704689309,7.7468641E-08
0.0223,-0.001830864348449,7.9220683E-08
0.0225,-0.001826021936722,7.9628947E-08
0.0227,-0.001791931106709,8.5079321E-08
0.0229,-0.001860869815573,9.1124235E-08
0.0231,-0.001747310278006,9.0320881E-08
0.0233,-0.001838224823587,9.4845461E-08
0.0235,-0.001908519421704,9.9743268E-08
0.0237,-0.00194810424,1.03062128E-07
0.0239,-0.001891297986731,1.06440297E-07
0.0241,-0.001825652085245,1.07976589E-07
0.0243,-0.002018240280449,1.08703972E-07
0.0245,-0.00174452806823,1.06723E-07
0.0247,-0.001765042426996,1.12512268E-07
0.0249,-0.001852188725024,1.13192478E-07
0.0251,-0.001805806881748,1.12079022E-07
