Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001808465807699,1.11831703E-07
0.0003,-0.001797724398784,1.07318229E-07
0.0005,-0.001886068144813,1.08637373E-07
0.0007,-0.001840637298301,1.04473891E-07
0.0009,-0.00182438432239,9.770541E-08
0.0011,-0.001721759792417,9.7961049E-08
0.0013,-0.001781348139048,9.5112895E-08
0.0015,-0.001780907972716,9.4767067E-08
0.0017,-0.001855921698734,9.4147211E-08
0.0019,-0.00195037573576,9.3761145E-08
0.0021,-0.00177245575469,9.2295267E-08
0.0023,-0.001727781957015,8.7796359E-08
0.0025,-0.001943032839336,8.8480391E-08
0.0027,-0.002100773155689,9.5047341E-08
0.0029,-0.002146873157471,1.03038538E-07
0.0031,-0.001710771815851,1.03548096E-07
0.0033,-0.001299815950915,9.796868E-08
0.0035,-0.001353822415695,1.02106846E-07
0.0037,-0.00160779512953,9.1888737E-08
0.0039,-0.001740513253026,9.7721014E-08
0.0041,-0.001696279738098,9.5765017E-08
0.0043,-0.001661748741753,9.7725874E-08
0.0045,-0.001651077764109,1.04067702E-07
0.0047,-0.001590784988366,1.04956037E-07
0.0049,-0.001740812556818,1.14447801E-07
0.0051,-0.001834879163653,1.17049332E-07
0.0053,-0.001819753088057,1.15950442E-07
0.0055,-0.001705700531602,1.10794907E-07
0.0057,-0.002010492375121,1.10936433E-07
0.0059,-0.001822500140406,1.04233507E-07
0.0061,-0.001881824457087,1.04084009E-07
0.0063,-0.001816160976887,9.7347787E-08
0.0065,-0.001849001506343,9.4700468E-08
0.0067,-0.001838805968873,8.909678E-08
0.0069,-0.001855657668784,8.9716984E-08
0.0071,-0.001896651112475,8.2803162E-08
0.0073,-0.001928804907948,8.2552717E-08
0.0075,-0.00178884959314,8.2298811E-08
0.0077,-0.001899468479678,7.9469388E-08
0.0079,-0.001710296375677,7.5558425E-08
0.0081,-0.001895999535918,7.3782097E-08
0.0083,-0.001793427858502,7.7849499E-08
0.0085,-0.001779375947081,8.3133031E-08
0.0087,-0.001805701293051,8.4745636E-08
0.0089,-0.001702284323983,8.7279176E-08
0.0091,-0.00185384391807,8.5427928E-08
0.0093,-0.001783831045032,9.0388525E-08
0.0095,-0.001641216804273,9.5419878E-08
0.0097,-0.001660216716118,9.4374755E-08
0.0099,-0.001658596796915,8.8192138E-08
0.0101,-0.001744263921864,9.1188404E-08
0.0103,-0.001644650474191,9.4182241E-08
0.0105,-0.001778882928193,9.8418575E-08
0.0107,-0.00189011823386,1.05105542E-07
0.0109,-0.001779974671081,1.02681611E-07
0.0111,-0.001585607999004,9.0479055E-08
0.0113,-0.00144301133696,7.752795E-08
0.0115,-0.001854002359323,8.4960696E-08
0.0117,-0.002125742379576,8.1292541E-08
0.0119,-0.001817957032472,9.52232E-08
0.0121,-0.001704010064714,9.5160416E-08
0.0123,-0.001760569750331,9.2952938E-08
0.0125,-0.001583847100846,8.8308688E-08
0.0127,-0.001600822084583,8.7012779E-08
0.0129,-0.00165579689201,8.4395985E-08
0.0131,-0.001772121177055,8.0899532E-08
0.0133,-0.001718924730085,7.5281271E-08
0.0135,-0.001786454813555,7.4244134E-08
0.0137,-0.001875626039691,7.5785621E-08
0.0139,-0.001915897591971,7.6278873E-08
0.0141,-0.001731004449539,8.0524224E-08
0.0143,-0.001834033872001,8.6929184E-08
0.0145,-0.001678758882917,8.8191101E-08
0.0147,-0.001844440819696,9.3598807E-08
0.0149,-0.001799379708245,9.9131043E-08
0.0151,-0.001737149897963,9.9594807E-08
0.0153,-0.001740196254104,1.01684009E-07
0.0155,-0.001703693065792,1.03184917E-07
0.0157,-0.001726179616526,1.07118083E-07
0.0159,-0.001558543182909,1.05274466E-07
0.0161,-0.001662963768467,1.08922848E-07
0.0163,-0.001678389147855,1.10274954E-07
0.0165,-0.001750022056513,1.08982512E-07
0.0167,-0.001821496407501,1.07164567E-07
0.0169,-0.001625016680919,1.03813797E-07
0.0171,-0.001718995161355,1.037968E-07
0.0173,-0.001903958735056,1.01362119E-07
0.0175,-0.001779816229828,1.02416948E-07
0.0177,-0.00187437585555,9.0932765E-08
0.0179,-0.001763985841535,1.01506757E-07
0.0181,-0.001671169535257,9.5836121E-08
0.0183,-0.001743172178976,9.0911946E-08
0.0185,-0.001635810825974,1.0017478E-07
0.0187,-0.001608869293705,9.3993549E-08
0.0189,-0.001591137144715,9.0251511E-08
0.0191,-0.001531284651719,8.4355058E-08
0.0193,-0.001939740031958,9.2337586E-08
0.0195,-0.002046837238595,9.8102923E-08
0.0197,-0.002013309858739,1.12082496E-07
0.0199,-0.001683495705947,9.6066096E-08
