Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001679146313109,9.7786575E-08
0.0003,-0.001754688331857,9.1934176E-08
0.0005,-0.001762031228282,1.01009348E-07
0.0007,-0.001745056244545,1.02524133E-07
0.0009,-0.001684886752628,1.0465704E-07
0.0011,-0.001525561674498,1.05841252E-07
0.0013,-0.001748296315782,1.09505244E-07
0.0015,-0.001729032257572,1.13624331E-07
0.0017,-0.001700611552224,1.12350627E-07
0.0019,-0.00170619355049,1.0687701E-07
0.0021,-0.001851995009929,1.06874232E-07
0.0023,-0.001508393092081,1.03810329E-07
0.0025,-0.001745954388753,1.02133555E-07
0.0027,-0.001578740542755,9.7423403E-08
0.0029,-0.001548382802866,9.1919262E-08
0.0031,-0.001595363253728,8.8291344E-08
0.0033,-0.001695593004115,8.6551097E-08
0.0035,-0.00166326307226,8.5107416E-08
0.0037,-0.001674163038842,8.117911E-08
0.0039,-0.001760199898854,8.1666812E-08
0.0041,-0.001773283351213,7.7910897E-08
0.0043,-0.001626988872886,7.0789994E-08
0.0045,-0.001778988633305,7.3373137E-08
0.0047,-0.001735441852361,7.7211261E-08
0.0049,-0.00178418320138,7.8931045E-08
0.0051,-0.00183611176908,8.2245741E-08
0.0053,-0.001785116503015,8.3369947E-08
0.0055,-0.001780168386176,8.4031775E-08
0.0057,-0.001793815288693,9.3288016E-08
0.0059,-0.001695628161542,8.902532E-08
0.0061,-0.00165412412025,9.2703537E-08
0.0063,-0.001578176976182,9.2905758E-08
0.0065,-0.00159346149303,8.8090161E-08
0.0067,-0.001708306604996,9.3446879E-08
0.0069,-0.001741816289723,9.9143186E-08
0.0071,-0.001839492702857,1.03100632E-07
0.0073,-0.001725704176351,9.5259274E-08
0.0075,-0.001504096551798,8.7727678E-08
0.0077,-0.001367222750559,7.1293996E-08
0.0079,-0.001733152661473,8.1699419E-08
0.0081,-0.001937820576131,8.2229782E-08
0.0083,-0.001759777311236,9.2472519E-08
0.0085,-0.001704643946141,9.1535625E-08
0.0087,-0.001722217653878,9.0676423E-08
0.0089,-0.001637113979086,8.5596504E-08
0.0091,-0.001627605175599,8.5082448E-08
0.0093,-0.0015852029901,8.2439293E-08
0.0095,-0.001762594794855,7.8724653E-08
0.0097,-0.001704908092506,7.5162646E-08
0.0099,-0.001691402052529,7.4835199E-08
0.0101,-0.001688514254056,7.4108854E-08
0.0103,-0.001579427276738,7.4520237E-08
0.0105,-0.00156953104306,8.0695571E-08
0.0107,-0.001654599560425,8.5098051E-08
0.0109,-0.001527621992864,8.9172048E-08
0.0111,-0.001604819204658,9.2471481E-08
0.0113,-0.001499289297499,9.608587E-08
0.0115,-0.00158654130064,9.8296823E-08
0.0117,-0.001620632014237,1.02541129E-07
0.0119,-0.001608517137356,1.03173129E-07
0.0121,-0.001573035260662,1.04801337E-07
0.0123,-0.001443838933483,1.06248827E-07
0.0125,-0.001448822207749,1.09819858E-07
0.0127,-0.001473034499213,1.09428932E-07
0.0129,-0.001609837752767,1.08054287E-07
0.0131,-0.001553313340992,1.06798616E-07
0.0133,-0.001425737049431,1.05856166E-07
0.0135,-0.001523343031295,1.03236253E-07
0.0137,-0.001536567229778,1.00626053E-07
0.0139,-0.001517849043012,9.6312377E-08
0.0141,-0.001577349379659,9.7657889E-08
0.0143,-0.001749352901243,9.83825E-08
0.0145,-0.001547326333821,9.0540453E-08
0.0147,-0.00164732709527,9.6819846E-08
0.0149,-0.00157479615882,8.9890413E-08
0.0151,-0.001717005390674,9.7768194E-08
0.0153,-0.001785345375538,8.3525691E-08
0.0155,-0.001633292762563,8.701798E-08
0.0157,-0.001791983959265,9.3084402E-08
0.0159,-0.001864074612968,1.06527708E-07
0.0161,-0.001657205633819,1.09716837E-07
0.0163,-0.001327444333583,9.5386575E-08
0.0165,-0.001335509121418,1.03082591E-07
0.0167,-0.00148807244841,9.608587E-08
0.0169,-0.001478810212575,9.6259996E-08
0.0171,-0.001547291059978,9.6929455E-08
0.0173,-0.001634032349102,1.01734656E-07
0.0175,-0.001627763616852,1.06689349E-07
0.0177,-0.001676223240793,1.04514477E-07
0.0179,-0.001553859212436,1.08405665E-07
0.0181,-0.001617779373191,1.14034677E-07
0.0183,-0.001588090788573,1.13901827E-07
0.0185,-0.001543223392218,1.06759764E-07
0.0187,-0.001815298106521,1.10222572E-07
0.0189,-0.001805120147765,1.05351816E-07
0.0191,-0.00180057703983,1.01076644E-07
0.0193,-0.00174445763696,9.832457E-08
0.0195,-0.001616300200112,9.4933569E-08
0.0197,-0.001635775668547,9.3081276E-08
0.0199,-0.001666696858592,8.8224049E-08
0.0201,-0.001748507609591,8.3881581E-08
0.0203,-0.001867120969109,8.5162569E-08
0.0205,-0.001591366017237,8.0721591E-08
0.0207,-0.001763070235029,8.0452764E-08
0.0209,-0.001534859184176,7.4329812E-08
0.0211,-0.001689905300736,7.4295812E-08
0.0213,-0.00166046328377,7.8706968E-08
0.0215,-0.001740618841723,7.8704886E-08
0.0217,-0.001639825641178,8.1438223E-08
0.0219,-0.001532217836939,8.4553122E-08
0.0221,-0.001475711003877,8.5126494E-08
0.0223,-0.001487561734393,9.1844683E-08
0.0225,-0.001537553383969,8.7080764E-08
0.0227,-0.001587668200955,9.3753513E-08
0.0229,-0.001608147285879,9.4021644E-08
0.0231,-0.001478017773479,9.6563511E-08
0.0233,-0.001492280978709,9.0892179E-08
0.0235,-0.001521265134215,9.7382816E-08
0.0237,-0.001716670813039,1.05814891E-07
0.0239,-0.001581381889991,1.00388448E-07
0.0241,-0.001238572294824,8.6800839E-08
0.0243,-0.001008741324767,7.8751022E-08
0.0245,-0.001374864950776,8.4374832E-08
0.0247,-0.001828134991229,8.3244032E-08
0.0249,-0.001715543796308,9.0250815E-08
0.0251,-0.001581786898896,9.7195851E-08
0.0253,-0.001586682163179,8.7996852E-08
0.0255,-0.001607495825738,9.1648353E-08
0.0257,-0.001526160398498,8.7599339E-08
0.0259,-0.001511228154413,8.486461E-08
