Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001752135111019,8.006392E-08
0.0003,-0.001721513224766,7.9813134E-08
0.0005,-0.001755621633492,8.2480568E-08
0.0007,-0.00175204698462,8.471546E-08
0.0009,-0.001672067563049,8.8166473E-08
0.0011,-0.001725721755065,9.0003148E-08
0.0013,-0.001633627340198,8.3687681E-08
0.0015,-0.001582561642863,8.5850068E-08
0.0017,-0.001665516989306,9.1333398E-08
0.0019,-0.001882493495941,1.04815904E-07
0.0021,-0.001763527980074,1.04685483E-07
0.0023,-0.001723115681671,9.0737473E-08
0.0025,-0.00151080545038,7.9049677E-08
0.0027,-0.001309289596975,7.1001587E-08
0.0029,-0.001415647100657,6.3580295E-08
0.0031,-0.001925124670379,6.8915163E-08
0.0033,-0.001857577008195,8.9469665E-08
0.0035,-0.001689958153293,8.2094154E-08
0.0037,-0.001667084172368,8.5161531E-08
0.0039,-0.001728591974825,8.3599573E-08
0.0041,-0.001794466748834,8.0074678E-08
0.0043,-0.001850198837928,7.4339866E-08
0.0045,-0.002041219966486,7.4530647E-08
0.0047,-0.001783126732334,6.9693193E-08
0.0049,-0.001707743154839,6.6050013E-08
0.0051,-0.001636832137592,6.9496167E-08
0.0053,-0.001671222271398,6.762064E-08
0.0055,-0.001518412493169,7.2255524E-08
0.0057,-0.001769743976183,7.7994144E-08
0.0059,-0.001565921236761,7.6653492E-08
0.0061,-0.001629189937375,8.6020037E-08
0.0063,-0.001692740363069,8.8313193E-08
0.0065,-0.001654511434026,9.2426383E-08
0.0067,-0.001615208457224,9.2414595E-08
0.0069,-0.001666925731115,9.6312725E-08
0.0071,-0.001557416166179,9.8997496E-08
0.0073,-0.001597423572093,9.8496969E-08
0.0075,-0.001733575365506,1.04528695E-07
0.0077,-0.0017929172609,1.05415992E-07
0.0079,-0.00181572069414,1.03490862E-07
0.0081,-0.001728451112285,1.0426993E-07
0.0083,-0.001621336326934,9.5490641E-08
0.0085,-0.001637113979086,9.7010627E-08
0.0087,-0.00170559482649,9.372021E-08
0.0089,-0.001755956211127,9.0459629E-08
0.0091,-0.001695610582829,9.2144035E-08
0.0093,-0.001683671725914,8.6480682E-08
0.0095,-0.001739280647598,8.7539327E-08
0.0097,-0.001862613135017,8.827157E-08
0.0099,-0.001891297986731,8.6384944E-08
0.0101,-0.00169645587448,8.2391772E-08
0.0103,-0.001544420840219,6.9543688E-08
0.0105,-0.001743630040437,8.1703234E-08
0.0107,-0.001746359397657,8.6994739E-08
0.0109,-0.001977211562917,9.7691185E-08
0.0111,-0.00190397631377,1.01488375E-07
0.0113,-0.001620843308046,9.7046701E-08
0.0115,-0.0015803957358,9.8641955E-08
0.0117,-0.001532147405669,8.5559392E-08
0.0119,-0.001829684595577,9.1156146E-08
0.0121,-0.001841922756284,8.9371845E-08
0.0123,-0.001876823487692,9.3626902E-08
0.0125,-0.001724823727272,9.6005046E-08
0.0127,-0.001720474334434,9.9798768E-08
0.0129,-0.001764179556631,9.939501E-08
0.0131,-0.001759618869983,1.02293811E-07
0.0133,-0.001746905269101,1.03251864E-07
0.0135,-0.00178624340333,1.04602229E-07
0.0137,-0.001691472483799,1.0343571E-07
0.0139,-0.00182718411088,9.7285344E-08
0.0141,-0.001671732985415,9.3504809E-08
0.0143,-0.001877475064248,9.2205084E-08
0.0145,-0.001627112040296,8.6693312E-08
0.0147,-0.001719435444102,8.3554134E-08
0.0149,-0.001607707119547,8.3731734E-08
0.0151,-0.001635740394704,8.1103494E-08
0.0153,-0.001787933870219,7.9685144E-08
0.0155,-0.001638469751924,7.5511252E-08
0.0157,-0.001740618841723,7.1373087E-08
0.0159,-0.001510347705334,6.8664029E-08
0.0161,-0.001789730042219,6.6480133E-08
0.0163,-0.001849071937613,6.7562368E-08
0.0165,-0.001697706058621,7.1055005E-08
0.0167,-0.001927501871251,7.6349636E-08
0.0169,-0.001813942217268,7.7223405E-08
0.0171,-0.001826074672863,8.0013976E-08
0.0173,-0.001767032197677,8.4183355E-08
0.0175,-0.001815861556679,8.6557684E-08
0.0177,-0.001842134050094,8.8566757E-08
0.0179,-0.001790892216377,8.3269356E-08
0.0181,-0.001654881285504,8.6124444E-08
0.0183,-0.001810772577301,9.2638324E-08
0.0185,-0.001767173060216,8.9137011E-08
0.0187,-0.001886596437544,1.04864469E-07
0.0189,-0.001907339668833,9.8541712E-08
0.0191,-0.001608746009879,8.5550028E-08
0.0193,-0.001475922297686,7.9163797E-08
0.0195,-0.001609644037671,6.6522794E-08
0.0197,-0.00205823010765,8.112292E-08
0.0199,-0.002176508773118,7.6865085E-08
0.0201,-0.001771663315594,8.873603E-08
0.0203,-0.001636691275053,8.8999307E-08
0.0205,-0.001763105392456,8.0730608E-08
0.0207,-0.001688214833848,8.1834699E-08
0.0209,-0.00169245863799,7.8748243E-08
0.0211,-0.0017212490784,7.7994493E-08
0.0213,-0.001719470601529,7.2182331E-08
0.0215,-0.001694712555036,6.9478823E-08
0.0217,-0.001634120359085,6.7372973E-08
0.0219,-0.001827712287195,7.3521946E-08
0.0221,-0.001548646949232,6.9613414E-08
0.0223,-0.00167065882124,7.7345156E-08
0.0225,-0.001812357455492,7.8518966E-08
0.0227,-0.001614468870685,8.3166682E-08
0.0229,-0.001703200046904,8.7530658E-08
0.0231,-0.001800136873499,9.3387911E-08
0.0233,-0.001686647650786,9.3480871E-08
0.0235,-0.00173692102544,9.4225605E-08
0.0237,-0.001617779373191,9.8311041E-08
0.0239,-0.001719523454085,1.01734308E-07
0.0241,-0.001488759182394,1.02057591E-07
0.0243,-0.00168898969423,1.07785112E-07
0.0245,-0.001608147285879,1.04696234E-07
0.0247,-0.00164399901405,1.02812379E-07
0.0249,-0.001827536267228,9.8848346E-08
0.0251,-0.001788303721696,9.7241987E-08
0.0253,-0.001659477245994,9.4441354E-08
0.0255,-0.001592810032889,9.3328595E-08
0.0257,-0.001574567169882,8.7506379E-08
0.0259,-0.00169939652551,9.1397567E-08
0.0261,-0.001800383324735,8.7444285E-08
0.0263,-0.001702425186522,8.570057E-08
0.0265,-0.001756748650223,9.3181868E-08
0.0267,-0.001711669843644,9.0409678E-08
0.0269,-0.001748278737068,9.0133916E-08
0.0271,-0.001690187025815,7.3291275E-08
0.0273,-0.001598849892616,7.9352837E-08
0.0275,-0.001898271148093,8.7243102E-08
0.0277,-0.001883778953925,1.04542224E-07
0.0279,-0.001746130408719,9.9469936E-08
0.0281,-0.001431706477888,9.4174268E-08
0.0283,-0.00158120575361,9.6830597E-08
0.0285,-0.001650355756283,8.8646885E-08
0.0287,-0.001625809003599,9.2845752E-08
0.0289,-0.001622164039873,9.1393062E-08
0.0291,-0.001764355576597,9.6320008E-08
0.0293,-0.001817287877202,9.8430021E-08
0.0295,-0.001654159277678,9.8956221E-08
0.0297,-0.001601878553629,1.06521121E-07
0.0299,-0.001738276914693,1.09926695E-07
0.0301,-0.001811019144952,1.09869461E-07
0.0303,-0.001673212158494,1.08560023E-07
0.0305,-0.001880362862721,1.08129555E-07
0.0307,-0.001649017562158,1.00529277E-07
0.0309,-0.001662875758484,9.9337086E-08
0.0311,-0.001771997893229,9.1872089E-08
0.0313,-0.001664583804086,8.9561233E-08
0.0315,-0.001684059156105,8.607033E-08
0.0317,-0.001709116622806,8.3158703E-08
0.0319,-0.001707091578282,7.9167265E-08
0.0321,-0.0017869125586,7.819186E-08
0.0323,-0.001819929224439,7.8347952E-08
0.0325,-0.001716723665595,7.3164323E-08
0.0327,-0.00165225751698,7.304812E-08
0.0329,-0.001691366895102,7.0826069E-08
0.0331,-0.001628961064853,7.4445666E-08
0.0333,-0.001620279857889,7.8464851E-08
0.0335,-0.001603621873073,8.0241172E-08
0.0337,-0.001676293672062,8.1736182E-08
0.0339,-0.001477788900957,8.4988791E-08
0.0341,-0.001489868503995,8.8468596E-08
0.0343,-0.001489886199124,9.2112465E-08
0.0345,-0.001499711885117,8.7355488E-08
0.0347,-0.001604713615961,8.7619107E-08
0.0349,-0.001572559820488,8.9943484E-08
0.0351,-0.001587034319527,9.0233819E-08
0.0353,-0.001736621605232,1.0428311E-07
0.0355,-0.001794343581423,1.09788637E-07
0.0357,-0.001602494856343,9.186931E-08
0.0359,-0.001488688751124,8.6217405E-08
0.0361,-0.001304253470153,7.2661706E-08
0.0363,-0.001742696738802,7.6416235E-08
0.0365,-0.002039863960817,8.1334512E-08
0.0367,-0.001839210977778,9.406223E-08
0.0369,-0.001812656759284,8.7276398E-08
0.0371,-0.001807990367524,8.9448847E-08
0.0373,-0.001747275004163,8.5237843E-08
0.0375,-0.00175211741589,8.1200618E-08
0.0377,-0.001741939573549,7.7779085E-08
0.0379,-0.001787352841347,7.7048576E-08
0.0381,-0.001759812585078,7.091591E-08
0.0383,-0.001648048986681,7.0905159E-08
0.0385,-0.001711317687295,7.0877405E-08
0.0387,-0.001755110919476,7.1257574E-08
0.0389,-0.001601315103471,7.6761026E-08
0.0391,-0.001718995161355,8.028384E-08
0.0393,-0.001590291969478,8.133312E-08
0.0395,-0.001766134169884,8.6485883E-08
0.0397,-0.001611950807273,9.1384734E-08
0.0399,-0.001568967592902,9.3675467E-08
0.0401,-0.001742274151184,9.6289135E-08
0.0403,-0.00163165514823,9.9620827E-08
0.0405,-0.001751518808305,1.06068455E-07
0.0407,-0.001606809091754,1.05459002E-07
0.0409,-0.001618219655938,1.09473682E-07
0.0411,-0.001670535537414,1.04608823E-07
0.0413,-0.001664566108957,1.05880794E-07
0.0415,-0.001849793829024,1.02645537E-07
0.0417,-0.001692934078164,1.01641696E-07
0.0419,-0.001659670844674,9.9737719E-08
0.0421,-0.001771152601577,9.6649536E-08
0.0423,-0.001819876371883,9.3957816E-08
0.0425,-0.001691067474894,8.6092186E-08
0.0427,-0.001802003360353,8.9060357E-08
0.0429,-0.001747961738147,9.0739903E-08
0.0431,-0.001854231348261,8.9751325E-08
0.0433,-0.001752962707542,9.1097874E-08
0.0435,-0.001728574396111,7.3361349E-08
0.0437,-0.001636427128688,7.2060928E-08
0.0439,-0.001854372210801,8.2908954E-08
0.0441,-0.00203956477344,8.466759E-08
0.0443,-0.002198678441346,9.88924E-08
0.0445,-0.002106936182827,1.02993447E-07
0.0447,-0.001641639391892,9.6327987E-08
0.0449,-0.0016591954045,1.01063804E-07
0.0451,-0.00168212223798,8.4320021E-08
0.0453,-0.001845567720011,8.8609426E-08
0.0455,-0.001774322241545,8.9078391E-08
0.0457,-0.001660428009927,9.3417739E-08
0.0459,-0.001731902477331,9.3010861E-08
0.0461,-0.001527533866465,9.5945389E-08
0.0463,-0.001580325304531,1.02030882E-07
0.0465,-0.001632183440961,1.05333434E-07
0.0467,-0.001689711585641,1.07403906E-07
0.0469,-0.001574355876073,1.03055193E-07
0.0471,-0.001695223152637,1.05056976E-07
0.0473,-0.001774920965545,9.9237184E-08
0.0475,-0.001634507789277,9.8547261E-08
0.0477,-0.001649950747378,9.390579E-08
0.0479,-0.001619170536287,8.5518117E-08
0.0481,-0.001583706238307,8.4309619E-08
0.0483,-0.001605312339962,8.5888573E-08
0.0485,-0.001566696097143,8.1657795E-08
0.0487,-0.001653807121329,8.1392436E-08
0.0489,-0.001599554205313,7.6140125E-08
0.0491,-0.001788761466742,7.5802276E-08
0.0493,-0.001642185263336,7.4375251E-08
0.0495,-0.001836868934333,7.3451531E-08
0.0497,-0.00180052430369,7.375435E-08
0.0499,-0.001558877760544,7.8263668E-08
0.0501,-0.001630827551708,7.7437072E-08
0.0503,-0.001620649592951,8.1267913E-08
0.0505,-0.001562329009175,8.7736005E-08
0.0507,-0.001565234502777,8.885501E-08
0.0509,-0.001561008393764,9.0534208E-08
0.0511,-0.00173359294422,8.8066919E-08
0.0513,-0.001626090728678,9.3690034E-08
0.0515,-0.001749722636305,9.680285E-08
0.0517,-0.001698797801509,8.992545E-08
0.0519,-0.001762806088664,1.05572425E-07
0.0521,-0.001717146253213,1.09969008E-07
0.0523,-0.001652310369536,9.6444879E-08
0.0525,-0.001424293150194,8.6466805E-08
0.0527,-0.001206665067002,7.6971922E-08
0.0529,-0.001313480432145,6.9252664E-08
0.0531,-0.001702337176539,7.7059333E-08
0.0533,-0.001790610491298,9.2385804E-08
0.0535,-0.00166386179626,8.585527E-08
0.0537,-0.001698234351352,8.7241368E-08
0.0539,-0.00171732227318,8.8176527E-08
0.0541,-0.001580360578373,8.1473608E-08
0.0543,-0.001604097313248,7.7418342E-08
0.0545,-0.001667471602559,7.7705899E-08
0.0547,-0.001670694095083,7.2160134E-08
0.0549,-0.00156053295359,7.1472634E-08
0.0551,-0.001696508610621,7.475299E-08
0.0553,-0.001723872846924,7.3961779E-08
0.0555,-0.001415453501977,7.6740555E-08
0.0557,-0.001599871204235,8.2083751E-08
0.0559,-0.001654317835346,8.5551761E-08
0.0561,-0.001673053600825,9.0667406E-08
0.0563,-0.001685327035375,9.2549179E-08
0.0565,-0.001604960067198,9.2679599E-08
0.0567,-0.001548805390485,9.6498297E-08
0.0569,-0.001583037083037,1.00457825E-07
0.0571,-0.001633081468754,1.05412525E-07
0.0573,-0.001542413374409,1.05363959E-07
0.0575,-0.001465938054025,1.0743998E-07
0.0577,-0.001670271391049,1.11339496E-07
0.0579,-0.001602776581421,1.0934707E-07
0.0581,-0.001656659762375,1.05290077E-07
0.0583,-0.001726478920318,1.02019087E-07
0.0585,-0.001699819113128,1.03230704E-07
0.0587,-0.001689535565674,9.9734947E-08
0.0589,-0.001736709731631,9.3282118E-08
0.0591,-0.001718907151371,8.9106145E-08
0.0593,-0.001686348346993,9.0943864E-08
0.0595,-0.001820281380787,8.9834572E-08
0.0597,-0.001772631774656,9.4031357E-08
0.0599,-0.00165472284425,8.8299672E-08
0.0601,-0.001714187907055,8.7855675E-08
0.0603,-0.001648964709602,7.4342992E-08
0.0605,-0.001529893488623,7.509778E-08
0.0607,-0.001745514106005,9.3755943E-08
0.0609,-0.001878284965642,9.1557126E-08
0.0611,-0.001896809553728,1.10169154E-07
0.0613,-0.00170018884819,9.8105694E-08
0.0615,-0.001518571050838,9.2615778E-08
0.0617,-0.001418024301529,1.00626401E-07
0.0619,-0.001576645066962,8.8577856E-08
0.0621,-0.001674937782809,9.4402161E-08
0.0623,-0.001804380561225,9.3631066E-08
0.0625,-0.001725580892526,1.01082883E-07
0.0627,-0.001727764378302,9.9477568E-08
0.0629,-0.001579779433087,1.04251896E-07
0.0631,-0.001640723785385,1.07463912E-07
0.0633,-0.001732800505124,1.09117096E-07
0.0635,-0.00165139476303,1.04951532E-07
0.0637,-0.001680431771092,1.05219314E-07
0.0639,-0.001868124702014,1.01013512E-07
0.0641,-0.001621230738237,9.6961372E-08
0.0643,-0.001699237967841,9.5087579E-08
0.0645,-0.001779675367288,8.9683681E-08
0.0647,-0.001842257217504,8.696734E-08
0.0649,-0.001774568809196,8.5994017E-08
0.0651,-0.001683777431026,8.3199282E-08
0.0653,-0.001595451380126,7.9230396E-08
0.0655,-0.001587368897162,7.4887232E-08
0.0657,-0.001700136112049,7.6062427E-08
0.0659,-0.001707479008473,7.0400112E-08
0.0661,-0.001709099044092,7.1815343E-08
0.0663,-0.001731814467348,7.2022083E-08
0.0665,-0.001603674725629,7.1912119E-08
0.0667,-0.00178624340333,7.7861294E-08
0.0669,-0.001657804357819,7.6960475E-08
0.0671,-0.001655004569329,8.1247791E-08
0.0673,-0.001617004629225,8.2815298E-08
0.0675,-0.001591049134731,8.9500531E-08
0.0677,-0.001506913919002,8.4044956E-08
0.0679,-0.001610542181879,8.7737043E-08
0.0681,-0.001585960155353,8.7519211E-08
0.0683,-0.001580219715834,9.0202249E-08
0.0685,-0.001581364194863,7.9606401E-08
0.0687,-0.001634049927816,1.02089501E-07
0.0689,-0.001695416867733,9.7200363E-08
0.0691,-0.00162432983052,9.4188486E-08
0.0693,-0.001369036501274,7.5279885E-08
0.0695,-0.001433255965821,7.2579844E-08
0.0697,-0.001781682716683,8.6880618E-08
0.0699,-0.0018585807411,7.5160564E-08
0.0701,-0.001713888603263,8.5898975E-08
0.0703,-0.001777104451321,8.6706144E-08
0.0705,-0.001505751744844,8.5079321E-08
0.0707,-0.001569161307998,8.060816E-08
0.0709,-0.00152114185039,8.06765E-08
0.0711,-0.001734385383315,7.6060346E-08
0.0713,-0.001724770874716,7.3873323E-08
0.0715,-0.001647855388001,6.7848184E-08
0.0717,-0.001618906389922,6.9499983E-08
0.0719,-0.001752874697559,7.2761956E-08
0.0721,-0.001684904447757,7.0278709E-08
0.0723,-0.001655251020566,7.4746055E-08
0.0725,-0.001627024030313,7.7677107E-08
0.0727,-0.001592457876541,8.2209318E-08
0.0729,-0.001547924941406,8.8984393E-08
0.0731,-0.001607548678294,9.0498482E-08
0.0733,-0.001656483625993,9.2858933E-08
0.0735,-0.001499377307482,9.6016151E-08
0.0737,-0.001494851894677,9.7430338E-08
0.0739,-0.001614891574718,1.00987492E-07
0.0741,-0.001522251288407,1.00347521E-07
0.0743,-0.001600012066774,1.04201945E-07
0.0745,-0.001446814858355,1.0459668E-07
0.0747,-0.001582315075211,1.06312307E-07
0.0749,-0.001601315103471,1.01997585E-07
0.0751,-0.001538116834126,9.8082452E-08
0.0753,-0.001578071387485,9.7021029E-08
0.0755,-0.001566766528413,9.4429218E-08
0.0757,-0.001637976733036,8.8236888E-08
0.0759,-0.001609045430087,8.6317307E-08
0.0761,-0.001599219627678,8.2324128E-08
0.0763,-0.001657698652707,8.6236831E-08
0.0765,-0.001631355844438,8.5160146E-08
0.0767,-0.001659107394516,8.1370928E-08
0.0769,-0.001617110217921,8.0193651E-08
0.0771,-0.001457239268348,7.3453265E-08
0.0773,-0.001598409609869,7.0782711E-08
0.0775,-0.0016615903005,8.8809912E-08
0.0777,-0.001872086664662,9.0202946E-08
0.0779,-0.001787211978808,1.05803096E-07
0.0781,-0.001523343031295,8.6285738E-08
0.0783,-0.001483916770667,1.01643082E-07
0.0785,-0.001620878581889,8.3811166E-08
0.0787,-0.001601755269803,8.7356874E-08
0.0789,-0.00166718987748,9.0169301E-08
0.0791,-0.001640301081352,9.2110731E-08
0.0793,-0.001759865321219,9.520447E-08
0.0795,-0.001556923147291,9.6952007E-08
