Time,MeasResult1_value,MeasResult2_value
0.0001,-0.001770201721229,8.6075538E-08
0.0003,-0.001763316686265,8.7453301E-08
0.0005,-0.001836939365603,8.424302E-08
0.0007,-0.001829772605561,8.3546155E-08
0.0009,-0.001833047834225,7.9466268E-08
0.0011,-0.001939176465385,7.8436408E-08
0.0013,-0.00176506000571,7.276924E-08
0.0015,-0.001922078314237,7.5155704E-08
0.0017,-0.001739245373756,7.4434908E-08
0.0019,-0.001774551114067,7.7948357E-08
0.0021,-0.001827324973419,8.0296324E-08
0.0023,-0.001779728219844,7.9824929E-08
0.0025,-0.001705946982838,8.0916529E-08
0.0027,-0.001657645916566,8.6368644E-08
0.0029,-0.001690081437118,8.4607926E-08
0.0031,-0.001725158304907,8.8693369E-08
0.0033,-0.001833083108068,9.1761088E-08
0.0035,-0.001898728893138,8.4971447E-08
0.0037,-0.001720315893181,8.8503974E-08
0.0039,-0.001759759732522,9.4106277E-08
0.0041,-0.001928311772645,9.8144547E-08
0.0043,-0.001869727158919,1.00252478E-07
0.0045,-0.00167805457022,8.9060705E-08
0.0047,-0.001522990874946,7.0851044E-08
0.0049,-0.001768194371834,8.0070514E-08
0.0051,-0.002070344984531,7.7747522E-08
0.0053,-0.001900366507471,8.994904E-08
0.0055,-0.001856309128925,8.8274E-08
0.0057,-0.001735195284709,8.6744649E-08
0.0059,-0.001817728159949,8.6618037E-08
0.0061,-0.001734402962029,8.4170523E-08
0.0063,-0.001799397286959,7.862927E-08
0.0065,-0.001925740973093,7.6526888E-08
0.0067,-0.001778759644367,7.3057137E-08
0.0069,-0.001802126644179,7.1064022E-08
0.0071,-0.001947311800905,7.4995796E-08
0.0073,-0.001861098804511,7.4145966E-08
0.0075,-0.001688883989118,7.8779117E-08
0.0077,-0.001801034901291,8.1719534E-08
0.0079,-0.001701421570033,8.3122977E-08
0.0081,-0.001809170236811,8.9841159E-08
0.0083,-0.001884272089228,9.417392E-08
0.0085,-0.001815086812712,9.6677631E-08
0.0087,-0.001892460160889,9.9940642E-08
0.0089,-0.001851396285929,1.01651402E-07
0.0091,-0.001831357367337,1.04535978E-07
0.0093,-0.001729401992634,1.04437817E-07
0.0095,-0.001652521663345,1.08680389E-07
0.0097,-0.001733170356601,1.09400489E-07
0.0099,-0.001700030406937,1.08343578E-07
0.0101,-0.001724929315969,1.05081604E-07
0.0103,-0.00166185433045,1.00016258E-07
0.0105,-0.001801739213988,1.00773477E-07
0.0107,-0.001819524215534,9.7823346E-08
0.0109,-0.001754248165525,9.3537409E-08
0.0111,-0.001823591883294,9.4946401E-08
0.0113,-0.001772173913196,9.0216822E-08
0.0115,-0.001744087785482,9.2532183E-08
0.0117,-0.001733099925332,9.086547E-08
0.0119,-0.001727570663206,9.2426042E-08
0.0121,-0.001718942308798,9.4566573E-08
0.0123,-0.001694694976322,8.5246171E-08
0.0125,-0.00169659673702,8.0908208E-08
0.0127,-0.001927325734869,9.0670873E-08
0.0129,-0.002217660890892,9.0628902E-08
0.0131,-0.002176068723202,1.0749617E-07
0.0133,-0.001646622666158,9.5768833E-08
0.0135,-0.001670870115049,9.8903847E-08
0.0137,-0.001543381949887,8.9485965E-08
0.0139,-0.001783267594874,9.4276594E-08
0.0141,-0.001819805940613,9.4091014E-08
0.0143,-0.001852435176261,9.7297836E-08
0.0145,-0.001829173881561,1.0165973E-07
0.0147,-0.001855851267464,1.04248421E-07
0.0149,-0.001836217474192,1.06914122E-07
0.0151,-0.001817199867219,1.11309667E-07
0.0153,-0.001730969175696,1.09847953E-07
0.0155,-0.00170758459717,1.08261368E-07
0.0157,-0.001806018175557,1.06093772E-07
0.0159,-0.001865941216238,1.01900461E-07
0.0161,-0.001782105420716,9.9459534E-08
0.0163,-0.001818256336264,9.5141687E-08
0.0165,-0.001812991336919,9.1875556E-08
0.0167,-0.001949935569428,8.7194195E-08
0.0169,-0.001761943218298,8.6911143E-08
0.0171,-0.001923451782204,8.2800035E-08
0.0173,-0.001964462921023,8.204421E-08
0.0175,-0.001865870784968,7.8469014E-08
0.0177,-0.002059673890471,7.8339632E-08
0.0179,-0.001715174061246,7.1135482E-08
0.0181,-0.001904786331579,7.2112961E-08
0.0183,-0.001816689153202,7.3918073E-08
0.0185,-0.001794308307581,7.5665263E-08
0.0187,-0.001960553694516,7.9738903E-08
0.0189,-0.001788796740584,8.1058403E-08
0.0191,-0.001887635327876,8.4855245E-08
0.0193,-0.001774427946657,8.8086345E-08
0.0195,-0.001981050474569,8.9288946E-08
0.0197,-0.00186403945554,9.1981349E-08
0.0199,-0.001976736122742,8.9431509E-08
0.0201,-0.001951168174855,9.1960885E-08
0.0203,-0.001891297986731,9.0729841E-08
0.0205,-0.001772931194864,8.6008242E-08
0.0207,-0.001902461983263,1.01992377E-07
0.0209,-0.001840232289396,1.03300778E-07
0.0211,-0.001582649652846,9.5792764E-08
0.0213,-0.001388106844388,8.1691788E-08
0.0215,-0.001515119685791,7.9065977E-08
0.0217,-0.002107165055349,8.9135973E-08
0.0219,-0.00205435603857,8.677101E-08
0.0221,-0.001804609550163,9.3086477E-08
0.0223,-0.001916654757224,9.3872835E-08
0.0225,-0.001799168414436,9.1275815E-08
0.0227,-0.00172806379851,8.4007148E-08
0.0229,-0.001908607548103,8.3335607E-08
0.0231,-0.001920352573507,8.0317832E-08
0.0233,-0.001885997713543,7.2987071E-08
