z (nm)	 No trap	 Trap (0.8 nm)	 Trap (1 nm)	 Trap (both)
0.48	0.9864163500228992	1.2790630731094133	1.4452401052482726	0.0957641474130436	
0.54	0.9881083964431522	1.2448516941196905	1.4110180582849048	0.08974155741393537	
0.5999999999999996	0.9899034590967424	1.2117886461352925	1.3777183059943707	0.08419169048795651	
0.6599999999999997	0.9917866198651304	1.1798360869287237	1.3453220536776878	0.07907412138294012	
0.7199999999999998	0.9937422284781087	1.1489557039649636	1.3138090497848993	0.07435180162186095	
0.7799999999999998	0.9957540325775504	1.1191093186339023	1.2831582222755131	0.06999083072212811	
0.8399999999999999	0.9978053127849027	1.090259424511907	1.2533482581029523	0.0659602349919563	
0.8999999999999999	0.9998790216499125	1.0623696607448583	1.2243581246058113	0.062231755311536116	
0.96	1.0019579253258377	1.0354052222751873	1.1961675324048338	0.05877964490461056	
1.0199999999999996	1.0040247467937375	1.00933320909562	1.1687573400717404	0.05558047775670819	
1.08	1.0060623094455436	0.9841229170266115	1.1421099013683425	0.052612968038443876	
1.1399999999999997	1.0080536798326611	0.9597460727091562	1.116209356269846	0.0498578006433743	
1.2000000000000002	1.009982308393753	0.9361770156061012	1.0910418673046636	0.047297472746322476	
1.2599999999999998	1.011832166992177	0.9133928298378261	1.0665958029840328	0.044916146125678506	
1.3200000000000003	1.013587882120053	0.8913734286638932	1.0428618702766905	0.04269950986745813	
1.38	1.0152348626619427	0.8701015943795952	1.0198331982231201	0.04063465297529862	
1.4399999999999995	1.016759421156349	0.8495629763401309	0.9975053748943513	0.038709946344677726	
1.5	1.0181488875472755	0.8297460497671624	0.9758764399932618	0.03691493351727398	
1.5599999999999996	1.0193917144804927	0.8106420379412665	0.9549468354805738	0.03524022960871559	
1.62	1.0204775732694356	0.7922448003451007	0.9347193166896441	0.03367742779653214	
1.6799999999999997	1.0213974397331944	0.7745506892994485	0.9151988264780949	0.03221901276186216	
1.7400000000000002	1.02214366919323	0.7575583776291659	0.8963923350526865	0.030858280495703376	
1.7999999999999998	1.0227100600055377	0.7412686599083363	0.878308648197645	0.029589263905907815	
1.8599999999999994	1.0230919051002778	0.7256842298623077	0.8609581867354819	0.028406663692741165	
1.92	1.0232860311005354	0.7108094365464298	0.8443527401519082	0.027305783996968928	
1.9799999999999995	1.0232908246951102	0.6966500219742432	0.8285051974206186	0.026282472363688872	
2.04	1.0231062460461664	0.6832128429281129	0.8134292581667979	0.025333063606320243	
2.0999999999999996	1.022733829120308	0.6705055797491313	0.799139127407216	0.024454327197301354	
2.16	1.0221766689403389	0.6585364349666804	0.7856491971964077	0.023643417854328223	
2.2199999999999998	1.0214393958636419	0.647313824687496	0.7729737185894346	0.022897829032715724	
